filename	author	author_birth_year	author_death_year	realname	title	source_title	colophon	first_book_publication	edition_year	firstprint_description	year
grigorovich.dva_generala.txt	Григорович, Дмитрий  Васильевич	1822	1899		Два генерала	Полное собрание сочинений Д.В. Григоровича. В 12 т.	СПб.: А.Ф. Маркс, 1896	1864	1896	Два генерала. Роман из соврем. жизни. [Соч.] Д.В. Григоровича, Москва Унив. тип. (Катков и К°) 1864	1864
grigorovich.koshka_i_myshka.txt	Григорович, Дмитрий  Васильевич	1822	1899		Кошка и мышка	Повести и рассказы. Д. В. Григорович. [Худож. М. Рапопорт]	Алма-Ата: Жазушы, 1987	1858-1859	1987	Повести и рассказы Д. Григоровича. Ч. 1-6, Москва К. Солдатенков и Н. Щепкин 1858-1859	1859
grigorovich.neudavshayasya_zhizn.txt	Григорович, Дмитрий  Васильевич	1822	1899		Неудавшаяся жизнь	Сочинения. Д.В. Григорович. Григорович. 1822-1899, Повести и рассказы, 1844-1852	М.: Худож. лит., 1988	1850	1988	Отечественные записки. Г. 12 1850. Т.72. № 9—10, 	1850
grigorovich.pakhotnik_i_barkhatnik.txt	Григорович, Дмитрий  Васильевич	1822	1899		Пахотник и бархатник	Избранные сочинения. [Подготовка текста А.И. Груздева. Вступ. статья, с. III-XX, и примеч. Л.М. Лотман. Ил.: И.С. Астапов]	М.: Гослитиздат, 1954	1872	1954	Пахатник и бархатник. (Повесть). [Соч.] Д.В. Григоровича, Санкт-Петербург тип. Скарятина 1872	1872
grigorovich.pereselentsy.txt	Григорович, Дмитрий  Васильевич	1822	1899		Переселенцы	Избранные сочинения. [Подготовка текста А.И. Груздева. Вступ. статья, с. III-XX, и примеч. Л.М. Лотман. Ил.: И.С. Астапов]	М.: Гослитиздат, 1954	1857	1954	Переселенцы. Роман в 5 ч. [Соч.] Д.В. Григоровича, Санкт-Петербург тип. Королева и К° 1857	1857
grigorovich.rybaki.txt	Григорович, Дмитрий  Васильевич	1822	1899		Рыбаки	Избранное. Д.В. Григорович. [Вступ. статья В. Мещерякова, с. 3-18]	М.: Худож. лит., 1976	1853	1976	Рыбаки. Роман в 3 ч. [Соч.] Дмитрия Григоровича Ч. 1-3, Санкт-Петербург тип. Королева и К° 1853	1853
grigorovich.svistulkin.txt	Григорович, Дмитрий  Васильевич	1822	1899		Свистулькин	Русские повести XIX века 40-х - 50-х годов. [Подготовка текста, вступ. статья, с. V-XLVIII, и примеч. Б.С. Мейлаха]. Т. 1-, [Д.В. Григорович. И.И. Панаев. Я.П. Бутков. В.И. Даль. Е.П. Гребенка]	М.: Гослитиздат, 1952	1858-1859	1952	Повести и рассказы Д. Григоровича. Ч. 1-6, Москва К. Солдатенков и Н. Щепкин 1858-1859	1859
iogel.mezhdu_vechnostyu_i_minutoy.txt	Иогель, Михаил Константинович	1848	1909		Между вечностью и минутой	Между вечностью и минутой. Роман в 3 ч. М. Иогель	М.: тип. И.Н. Кушнерева и К°, 1881	1881	1881	Между вечностью и минутой. Роман в 3 ч. М. Иогель, М.: тип. И.Н. Кушнерева и К°, 1881	1881
kalashnikov.kamchadalka.txt	Калашников, Иван Тимофеевич	1797	1863		Камчадалка	Камчадалка. [Роман]. Соч. И. Калашникова	СПб.: тип. А. Иогансона, 1842	1842	1842	Камчадалка. [Роман]. Соч. И. Калашникова, СПб.: тип. А. Иогансона, 1842	1842
karnovich.lyubov_i_korona.txt	Карнович, Евгений Петрович	1823	1885		Любовь и корона: Ист. роман из времен императрицы Анны Иоановны и регентства принцессы Анны Леопольдовны	Любовь и корона. Ист. роман из времен императрицы Анны Иоановны и регентства принцессы Анны Леопольдовны. Евгений Карнович. [Послесл. К. Новикова]	М.: Панорама, 1995	1879	1995	Любовь и корона. Ист. роман из времен. имп. Анны Ивановны и регентства принцессы Анны Леопольдовны. [Соч.] Евгения Карновича, Санкт-Петербург Славян. печ. И.В. Вернадского 1879	1879
